"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.615591648E0,-8.698720932E-1,1.291979998E-1,2.532036304E-1,9.151402407E-1
1.624059648E0,-8.637634516E-1,1.771509200E-1,2.776382565E-1,9.244202238E-1
1.624917648E0,-8.637634516E-1,1.771509200E-1,2.776382565E-1,9.244202238E-1
1.633618648E0,-8.707883954E-1,1.933388561E-1,2.974913716E-1,9.402943470E-1
1.634480648E0,-8.707883954E-1,1.933388561E-1,2.974913716E-1,9.402943470E-1
1.642715648E0,-9.013316631E-1,2.003637999E-1,2.971859276E-1,9.699813889E-1
1.643581648E0,-9.013316631E-1,2.003637999E-1,2.971859276E-1,9.699813889E-1
1.652060648E0,-9.669997096E-1,1.744020283E-1,2.990185320E-1,1.027091324E0
1.652945648E0,-9.669997096E-1,1.744020283E-1,2.990185320E-1,1.027091324E0
1.661343648E0,-1.039387226E0,1.356120855E-1,3.075706363E-1,1.092390104E0
1.662201648E0,-1.039387226E0,1.356120855E-1,3.075706363E-1,1.092390104E0
1.670690648E0,-1.094975948E0,1.139263660E-1,3.075706363E-1,1.143044724E0
1.671565648E0,-1.094975948E0,1.139263660E-1,3.075706363E-1,1.143044724E0
1.680190648E0,-1.114829063E0,9.346238524E-2,3.036000133E-1,1.159203186E0
1.681201648E0,-1.114829063E0,9.346238524E-2,3.036000133E-1,1.159203186E0
1.689352648E0,-1.103528023E0,7.605272532E-2,2.910772860E-1,1.143802474E0
1.690223648E0,-1.103528023E0,7.605272532E-2,2.910772860E-1,1.143802474E0
1.698636648E0,-1.069014192E0,6.230825558E-2,2.852740586E-1,1.108176407E0
1.699505648E0,-1.069014192E0,6.230825558E-2,2.852740586E-1,1.108176407E0
1.707961648E0,-1.007011414E0,3.817907721E-2,2.864958048E-1,1.047668590E0
1.708833648E0,-1.007011414E0,3.817907721E-2,2.864958048E-1,1.047668590E0
1.717287648E0,-9.535606503E-1,7.941247895E-3,2.828305960E-1,9.946527652E-1
1.718196648E0,-9.535606503E-1,7.941247895E-3,2.828305960E-1,9.946527652E-1
1.726616648E0,-9.309586287E-1,-2.626720630E-2,2.785545588E-1,9.720939135E-1
1.727485648E0,-9.309586287E-1,-2.626720630E-2,2.785545588E-1,9.720939135E-1
1.735952648E0,-9.242390990E-1,-5.986479297E-2,2.868012190E-1,9.695651834E-1
1.736818648E0,-9.242390990E-1,-5.986479297E-2,2.868012190E-1,9.695651834E-1
1.745266648E0,-9.279043078E-1,-8.643743396E-2,2.935207486E-1,9.770528463E-1
1.746134648E0,-9.279043078E-1,-8.643743396E-2,2.935207486E-1,9.770528463E-1
1.754615648E0,-9.367618561E-1,-7.819075137E-2,3.005456924E-1,9.868962873E-1
1.755513648E0,-9.367618561E-1,-7.819075137E-2,3.005456924E-1,9.868962873E-1
1.763920648E0,-9.520334601E-1,-4.703662544E-2,3.280346394E-1,1.008060950E0
1.764776648E0,-9.520334601E-1,-4.703662544E-2,3.280346394E-1,1.008060950E0
